City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Saint Anthony,US,45.0205,-93.218,59.72,41,0,11.5,clear sky
240,Oranjemund,NA,-28.55,16.4333,56.26,87,3,4.32,clear sky
241,Ondangwa,NA,-17.9167,15.95,51.8,37,5,3.44,clear sky
242,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,80,100,14.97,overcast clouds
243,Juigalpa,NI,12.1063,-85.3645,84.11,79,40,4.61,scattered clouds
244,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,52.88,72,0,5.26,clear sky
245,Khorixas,NA,-20.3667,14.9667,67.8,30,13,8.01,few clouds
246,Nouadhibou,MR,20.931,-17.0347,66.18,72,0,24.16,clear sky
247,Baherden,TM,38.4362,57.4316,66.0,68,98,2.35,overcast clouds
248,Harper,LR,4.375,-7.7169,80.92,80,2,6.67,clear sky
249,Roald,NO,62.5833,6.1333,41.76,70,75,11.5,broken clouds
250,Kaura Namoda,NG,12.5898,6.5779,89.42,34,57,9.4,broken clouds
251,Banamba,ML,13.55,-7.45,88.03,37,99,9.31,overcast clouds
252,Sompeta,IN,18.9333,84.6,81.07,90,97,10.6,overcast clouds
253,Say,NE,13.1007,2.3689,91.96,12,50,7.05,scattered clouds
254,Dubrovka,RU,53.6907,33.5071,41.61,93,82,6.76,broken clouds
255,Gidam,IN,18.9833,81.4,73.62,74,15,2.04,few clouds
256,Orgtrud,RU,56.1832,40.6149,44.15,83,100,6.55,overcast clouds
257,Bonavista,CA,48.6499,-53.1147,36.95,95,100,16.04,overcast clouds
258,Rairangpur,IN,22.2676,86.1751,77.27,71,30,2.48,scattered clouds
259,Vilhena,BR,-12.7406,-60.1458,66.42,94,100,12.66,mist
260,Xining,CN,36.6167,101.7667,48.94,31,0,3.11,clear sky
261,Upata,VE,8.0086,-62.3989,81.19,80,81,7.96,broken clouds
262,Wattegama,LK,6.7989,81.4808,74.97,91,86,2.44,overcast clouds
263,Trenton,US,40.217,-74.7429,62.04,74,0,12.66,clear sky
264,Koboko,UG,3.4136,30.9599,63.91,81,21,3.98,few clouds
265,Nantucket,US,41.2835,-70.0995,53.71,75,100,8.05,overcast clouds
266,Laguna,US,38.421,-121.4238,83.14,22,0,11.5,clear sky
267,Yeniseysk,RU,58.4497,92.1703,33.89,87,100,9.22,overcast clouds
268,Nuevo Progreso,MX,23.1667,-97.95,84.54,78,90,10.92,overcast clouds
269,Tsarychanka,UA,48.937,34.4786,49.14,72,42,6.62,scattered clouds
270,Yellowknife,CA,62.456,-114.3525,45.12,49,20,19.57,few clouds
271,Adrar,MR,20.5022,-10.0711,83.14,17,77,7.09,broken clouds
272,Ismailia,EG,30.6043,32.2723,63.01,90,21,12.77,few clouds
273,Brindisi,IT,40.5833,17.6667,56.77,82,5,1.52,clear sky
274,Shache,CN,38.4167,77.2406,64.71,18,53,3.18,broken clouds
275,Strezhevoy,RU,60.7333,77.5889,27.3,81,16,6.49,few clouds
276,Yumen,CN,40.2833,97.2,66.72,9,4,5.53,clear sky
277,Kutum,SD,14.2,24.6667,79.79,29,58,11.63,broken clouds
278,Ugoofaaru,MV,5.6667,73.0,84.49,70,100,14.45,moderate rain
279,Bluefields,NI,12.0137,-83.7635,82.47,89,75,4.61,broken clouds
280,Labuhan,ID,-6.8844,112.2051,80.38,85,96,6.4,overcast clouds
281,Minas,UY,-34.3759,-55.2377,53.24,78,91,6.08,overcast clouds
282,Kaa-Khem,RU,51.6833,94.7333,48.34,49,71,6.6,broken clouds
283,Rundu,NA,-17.9333,19.7667,56.46,50,6,4.16,clear sky
284,Puntarenas,CR,9.9763,-84.8384,79.75,85,79,4.03,broken clouds
285,Vryburg,ZA,-26.9566,24.7284,57.94,55,3,2.28,clear sky
286,Dzerzhinskoye,RU,56.8344,95.2283,37.38,80,100,7.27,overcast clouds
287,Ziro,IN,27.6333,93.8333,50.63,94,99,1.25,overcast clouds
288,Belmonte,BR,-15.8631,-38.8828,76.37,82,7,7.61,clear sky
289,Upington,ZA,-28.4478,21.2561,59.38,51,0,5.75,clear sky
290,Taoudenni,ML,22.6783,-3.9836,86.31,13,34,7.45,scattered clouds
291,Port Blair,IN,11.6667,92.75,81.0,80,100,3.27,overcast clouds
292,Melfi,IT,40.9965,15.6514,47.5,89,36,4.36,scattered clouds
293,Manjacaze,MZ,-24.7117,33.8828,63.25,93,1,2.19,clear sky
294,Canton,CN,23.1167,113.25,67.95,58,37,3.76,scattered clouds
295,Ulychne,UA,49.2338,23.6511,48.97,81,42,4.07,scattered clouds
296,Tamiahua,MX,21.2667,-97.45,82.17,80,97,13.89,overcast clouds
297,Alta Floresta,BR,-9.8756,-56.0861,73.09,93,47,2.71,scattered clouds
298,Mahon,ES,39.8885,4.2658,57.76,94,40,6.91,scattered clouds
299,Kovdor,RU,67.5662,30.4758,12.97,94,24,4.27,few clouds
300,Granger,US,41.7481,-86.1257,54.1,97,100,11.5,overcast clouds
301,Coihaique,CL,-45.5752,-72.0662,48.15,87,100,6.91,light rain
302,Dharmanagar,IN,24.3667,92.1667,69.42,94,72,1.66,broken clouds
303,Nola,IT,40.922,14.5329,58.86,85,48,0.87,scattered clouds
304,Eslov,SE,55.8393,13.3039,47.43,90,80,6.04,broken clouds
305,Beloretsk,RU,53.9631,58.3981,37.11,66,64,0.51,broken clouds
306,Longido,TZ,-2.7333,36.6833,61.27,85,90,8.55,overcast clouds
307,Riviere-Au-Renard,CA,48.9957,-64.3971,48.49,91,25,13.06,scattered clouds
308,Kafyr-Kumukh,RU,42.8375,47.1541,43.88,82,40,2.73,scattered clouds
309,Alindao,CF,5.0267,21.2088,69.01,89,100,0.58,overcast clouds
310,Fort Abbas,PK,29.1925,72.8536,86.56,30,20,10.45,few clouds
311,Coromandel,BR,-18.4733,-47.2003,71.82,48,76,2.55,broken clouds
312,Bubaque,GW,11.2833,-15.8333,77.29,69,3,7.23,clear sky
313,Goedereede,NL,51.8175,3.9806,48.97,73,98,1.99,overcast clouds
314,Oriximina,BR,-1.7656,-55.8661,77.02,89,87,1.86,overcast clouds
315,Puerto Madryn,AR,-42.7692,-65.0385,64.31,44,83,15.08,broken clouds
316,General Pico,AR,-35.6566,-63.7568,53.08,51,0,8.75,clear sky
317,Tukrah,LY,32.5341,20.5791,58.23,86,0,2.68,clear sky
318,Locri,IT,38.2414,16.2623,56.32,57,51,7.47,broken clouds
319,Farafangana,MG,-22.8167,47.8333,71.06,71,78,5.17,broken clouds
320,Nuuk,GL,64.1835,-51.7216,21.81,93,75,10.36,light snow
321,Badarwas,IN,24.9667,77.5667,84.13,24,2,8.81,clear sky
322,Pytalovo,RU,57.0679,27.9138,31.01,74,5,9.15,clear sky
323,Abu Dhabi,AE,24.4667,54.3667,82.42,53,0,5.75,clear sky
324,Jiwani,PK,25.05,61.7417,81.64,70,0,12.71,clear sky
325,Uglovskoye,RU,51.3557,80.1942,41.94,42,36,10.56,scattered clouds
326,Namangan,UZ,40.9983,71.6726,72.05,49,100,4.61,light rain
327,Dryden,CA,49.7833,-92.7503,46.69,39,0,4.61,clear sky
328,Arona,ES,28.0996,-16.681,60.12,65,40,9.22,scattered clouds
329,Domoni,KM,-12.2569,44.5319,78.48,86,20,6.42,few clouds
330,Eyl,SO,7.9803,49.8164,83.77,78,39,10.49,scattered clouds
331,Kattivakkam,IN,13.2167,80.3167,86.09,83,75,9.55,broken clouds
332,Ler,SS,8.3018,30.1418,80.51,59,80,2.51,light rain
333,Maldonado,UY,-34.6667,-54.9167,53.22,84,53,3.38,broken clouds
334,Akdagmadeni,TR,39.6603,35.8836,48.72,75,45,2.01,scattered clouds
335,Minudasht,IR,37.2289,55.3747,58.35,86,94,0.83,overcast clouds
