City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,East London,ZA,2022-04-28 02:59:13,-33.0153,27.9116,58.55,63,0,5.46
90,Hermanus,ZA,2022-04-28 02:54:15,-34.4187,19.2345,57.29,73,0,7.52
91,Plouzane,FR,2022-04-28 02:59:13,48.3833,-4.6167,50.18,87,0,10.36
92,Ust-Kuyga,RU,2022-04-28 02:59:14,70.0167,135.6,14.49,82,100,5.23
93,Pestovo,RU,2022-04-28 02:59:19,58.5938,35.8024,27.82,67,47,0.92
94,Marsabit,KE,2022-04-28 02:59:20,2.3284,37.9899,63.57,90,98,15.86
95,Jamestown,US,2022-04-28 02:57:13,42.097,-79.2353,31.59,86,52,5.01
96,Sabang,ID,2022-04-28 02:59:21,5.8933,95.3214,84.61,75,96,10.78
97,West Wendover,US,2022-04-28 02:59:21,40.7391,-114.0733,61.88,20,100,14.5
98,Yulara,AU,2022-04-28 02:59:21,-25.2406,130.9889,84.04,23,100,5.75
99,Kuah,MY,2022-04-28 02:59:22,6.3265,99.8432,87.78,79,40,2.3
100,Provideniya,RU,2022-04-28 02:59:22,64.3833,-173.3,33.91,80,20,4.47
101,Camana,PE,2022-04-28 02:59:23,-16.6228,-72.7111,66.79,88,59,7.52
102,Yellowknife,CA,2022-04-28 02:59:23,62.456,-114.3525,48.72,43,75,10.36
103,Klaksvik,FO,2022-04-28 02:59:24,62.2266,-6.589,43.72,70,99,4.05
104,Rocha,UY,2022-04-28 02:59:24,-34.4833,-54.3333,51.66,90,0,0.67
105,Amberley,US,2022-04-28 02:56:28,39.2048,-84.428,49.15,73,39,6.44
106,Kodiak,US,2022-04-28 02:59:25,57.79,-152.4072,45.23,73,10,7.09
107,Fortuna,US,2022-04-28 02:59:25,40.5982,-124.1573,51.66,78,100,4.0
108,Coelho Neto,BR,2022-04-28 02:59:26,-4.2567,-43.0128,72.41,99,99,2.06
109,Albany,US,2022-04-28 02:58:22,42.6001,-73.9662,38.88,66,17,1.99
110,Makakilo City,US,2022-04-28 02:59:26,21.3469,-158.0858,78.57,64,75,6.91
111,Chokurdakh,RU,2022-04-28 02:59:27,70.6333,147.9167,16.95,90,100,8.5
112,Hamilton,US,2022-04-28 02:59:27,39.1834,-84.5333,49.84,72,34,6.35
113,Limon,CR,2022-04-28 02:59:28,10.0,-83.0333,76.66,88,100,3.83
114,Chekalin,RU,2022-04-28 02:59:28,54.0969,36.245,32.81,86,29,4.41
115,Leshukonskoye,RU,2022-04-28 02:59:29,64.8989,45.7622,19.35,79,5,5.79
116,Broome,US,2022-04-28 02:59:29,42.2506,-75.833,34.86,79,100,9.22
117,Broken Hill,AU,2022-04-28 02:59:30,-31.95,141.4333,67.71,73,75,9.22
118,Ostrovnoy,RU,2022-04-28 02:59:30,68.0531,39.5131,23.38,83,100,23.51
119,Rio Grande,BR,2022-04-28 02:57:58,-32.035,-52.0986,62.94,89,97,6.2
120,Praia,CV,2022-04-28 02:59:31,14.9215,-23.5087,68.54,77,40,17.27
121,Mitsamiouli,KM,2022-04-28 02:55:31,-11.3847,43.2844,80.73,77,100,12.06
122,Puerto Ayora,EC,2022-04-28 02:59:31,-0.7393,-90.3518,71.69,92,15,4.99
123,Meridian,US,2022-04-28 02:58:20,43.6121,-116.3915,58.78,41,0,8.05
124,Port Elizabeth,ZA,2022-04-28 02:59:32,-33.918,25.5701,52.09,93,0,2.3
125,Chicama,PE,2022-04-28 02:59:32,-7.8447,-79.1469,63.14,81,97,5.66
126,Flinders,AU,2022-04-28 02:59:33,-34.5833,150.8552,71.19,86,61,8.01
127,Spirit River,CA,2022-04-28 02:59:33,55.7833,-118.8361,32.43,97,100,18.45
128,Opuwo,NA,2022-04-28 02:59:33,-18.0607,13.84,67.42,42,49,3.76
129,Havre-Saint-Pierre,CA,2022-04-28 02:59:34,50.2334,-63.5986,35.96,100,100,5.75
130,Kamaishi,JP,2022-04-28 02:59:34,39.2667,141.8833,55.72,51,10,1.79
131,Dukat,RU,2022-04-28 02:59:35,62.55,155.55,24.06,89,100,9.82
132,Fallon,US,2022-04-28 02:59:35,39.4735,-118.7774,62.46,14,7,17.69
133,Buri,BR,2022-04-28 02:59:36,-23.7975,-48.5928,66.36,83,70,0.89
