City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
661,Arona,ES,58.82,clear sky,28.0996,-16.680999999999997,Paradise Court
662,Darnah,LY,62.64,clear sky,32.766999999999996,22.6367,فندق الفردوس
664,Zambezi,ZM,57.72,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
665,Viedma,AR,45.37,overcast clouds,-40.8135,-62.9967,Hotel Cristal
669,Camacha,PT,58.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
671,Poli,TZ,61.07,overcast clouds,-3.3333,36.8,Urafiki House
677,Killybegs,IE,48.85,light rain,54.6333,-8.45,Tara Hotel
693,Pinkafeld,AT,46.76,few clouds,47.3667,16.1167,Stadthotel & Restaurant Pinkafeld
703,Rogozno,PL,45.99,scattered clouds,52.7523,16.9905,Ośrodek Rekreacyjno Sportowy
711,Radcha,UA,48.07,broken clouds,48.8502,24.655,Pid Yavorom
715,Oriental,MX,61.23,overcast clouds,19.3667,-97.6167,Motel 111
720,Khiv,RU,54.95,overcast clouds,41.7543,47.9306,Four Seasons
721,Zvishavane,ZW,55.47,clear sky,-20.3267,30.0665,Hotel Boutique Runde
